szn,szn_type,official,ref_points,games,ref_rating
2022,playoffs,Nick Buchert,2,2,1
2022,playoffs,Pat Fraher,10,6,1.6666666666666667
2022,playoffs,Rodney Mott,4,4,1
2022,playoffs,Scott Foster,70,14,5
2022,playoffs,Scott Twardoski,1,1,1
2022,playoffs,Sean Wright,25,9,2.7777777777777777
2022,playoffs,Tom Washington,4,4,1
2022,playoffs,Tony Brothers,33,11,3
2022,playoffs,Tre Maddox,9,5,1.8
2022,playoffs,Tyler Ford,14,8,1.75
2022,playoffs,Zach Zarba,80,16,5
2022,pre-season,Aaron Smith,6,2,3
2022,pre-season,Andy Nagy,3,3,1
2022,pre-season,Ben Taylor,15,3,5
2022,pre-season,Blanca Burns,2,2,1
2022,pre-season,Brandon Adair,7,3,2.3333333333333335
2022,pre-season,Brandon Schwab,2,2,1
2022,pre-season,Brent Barnaky,12,4,3
2022,pre-season,Brent Haskill,2,2,1
2022,pre-season,Brett Nansel,7,3,2.3333333333333335
2022,pre-season,Brian Forte,13,3,4.333333333333333
2022,pre-season,Cheryl Flores,3,3,1
2022,pre-season,CJ Washington,2,2,1
2022,pre-season,Courtney Kirkland,5,1,5
2022,pre-season,Curtis Blair,15,3,5
2022,pre-season,Danielle Scott,2,2,1
2022,pre-season,Dannica Mosher,3,3,1
2022,pre-season,David Guthrie,10,2,5
2022,pre-season,Dedric Taylor,9,3,3
2022,pre-season,Derek Richardson,9,3,3
2022,pre-season,Derrick Collins,15,3,5
2022,pre-season,Ed Malloy,15,3,5
2022,pre-season,Eric Dalen,9,3,3
2022,pre-season,Eric Lewis,15,3,5
2022,pre-season,Evan Scott,3,3,1
2022,pre-season,Gediminas Petraitis,7,3,2.3333333333333335
2022,pre-season,Jacyn Goble,9,3,3
2022,pre-season,James Capers,10,2,5
2022,pre-season,James Williams,15,3,5
2022,pre-season,JB DeRosa,9,3,3
2022,pre-season,JD Ralls,3,3,1
2022,pre-season,Jenna Reneau,3,3,1
2022,pre-season,Jenna Schroeder,2,2,1
2022,pre-season,John Butler,3,3,1
2022,pre-season,John Conley,5,3,1.6666666666666667
2022,pre-season,Jonathan Sterling,2,2,1
2022,pre-season,Josh Tiven,10,2,5
2022,pre-season,JT Orr,9,3,3
2022,pre-season,Justin Van Duyne,9,3,3
2022,pre-season,Kane Fitzgerald,10,2,5
2022,pre-season,Karl Lane,15,3,5
2022,pre-season,Kevin Cutler,15,3,5
2022,pre-season,Kevin Scott,15,3,5
2022,pre-season,Lauren Holtkamp,12,4,3
2022,pre-season,Leon Wood,9,3,3
2022,pre-season,Marat Kogut,9,3,3
2022,pre-season,Marc Davis,10,2,5
2022,pre-season,Mark Lindsay,15,3,5
2022,pre-season,Matt Boland,6,2,3
2022,pre-season,Matt Kallio,3,3,1
2022,pre-season,Matt Myers,3,3,1
2022,pre-season,Michael Smith,9,3,3
2022,pre-season,Mitchell Ervin,9,3,3
2022,pre-season,Mousa Dagher,2,2,1
2022,pre-season,Natalie Sago,9,3,3
2022,pre-season,Nate Green,2,2,1
2022,pre-season,Nick Buchert,9,3,3
2022,pre-season,Pat Fraher,15,3,5
2022,pre-season,Phenizee Ransom,3,3,1
2022,pre-season,Ray Acosta,7,3,2.3333333333333335
2022,pre-season,Robert Hussey,3,3,1
2022,pre-season,Rodney Mott,15,3,5
2022,pre-season,Scott Foster,10,2,5
2022,pre-season,Scott Twardoski,7,3,2.3333333333333335
2022,pre-season,Scott Wall,9,3,3
2022,pre-season,Sean Corbin,10,2,5
2022,pre-season,Sean Wright,15,3,5
2022,pre-season,Simone Jelks,3,3,1
2022,pre-season,Suyash Mehta,3,3,1
2022,pre-season,Tom Washington,5,1,5
2022,pre-season,Tony Brothers,10,2,5
2022,pre-season,Tre Maddox,10,2,5
2022,pre-season,Tyler Ford,15,3,5
2022,pre-season,Tyler Ricks,2,2,1
2022,pre-season,Zach Zarba,10,2,5
2022,regular season,Aaron Smith,80,54,1.4814814814814814
2022,regular season,Andy Nagy,52,48,1.0833333333333333
2022,regular season,Ashley Moyer-Gleich,4,4,1
2022,regular season,Ben Taylor,288,66,4.363636363636363
2022,regular season,Bennie Adams,54,46,1.173913043478261
2022,regular season,Bill Kennedy,298,60,4.966666666666667
2022,regular season,Blanca Burns,8,8,1
2022,regular season,Brandon Adair,113,59,1.9152542372881356
2022,regular season,Brandon Schwab,39,39,1
2022,regular season,Brent Barnaky,200,64,3.125
2022,regular season,Brent Haskill,7,5,1.4
2022,regular season,Brett Nansel,58,52,1.1153846153846154
2022,regular season,Brian Forte,221,61,3.622950819672131
2022,regular season,Cheryl Flores,12,12,1
2022,regular season,CJ Washington,47,39,1.205128205128205
2022,regular season,Clare Aubry,3,3,1
2022,regular season,Courtney Kirkland,275,55,5
2022,regular season,Curtis Blair,271,61,4.442622950819672
2022,regular season,Danielle Scott,33,33,1
2022,regular season,Dannica Mosher,12,12,1
2022,regular season,David Guthrie,290,58,5
2022,regular season,Dedric Taylor,177,59,3
2022,regular season,Derek Richardson,123,55,2.2363636363636363
2022,regular season,Derrick Collins,188,58,3.2413793103448274
2022,regular season,Ed Malloy,254,54,4.703703703703703
2022,regular season,Eric Dalen,126,44,2.8636363636363638
2022,regular season,Eric Lewis,290,58,5
2022,regular season,Evan Scott,40,40,1
2022,regular season,Gediminas Petraitis,128,60,2.1333333333333333
2022,regular season,Isaac Barnett,1,1,1
2022,regular season,Jacyn Goble,192,64,3
2022,regular season,James Capers,250,50,5
2022,regular season,James Williams,300,60,5
2022,regular season,Jason Goldenberg,55,41,1.3414634146341464
2022,regular season,JB DeRosa,190,64,2.96875
2022,regular season,JD Ralls,12,12,1
2022,regular season,Jenna Reneau,14,12,1.1666666666666667
2022,regular season,Jenna Schroeder,37,37,1
2022,regular season,John Butler,45,45,1
2022,regular season,John Conley,29,29,1
2022,regular season,John Goble,230,46,5
2022,regular season,Jonathan Sterling,67,53,1.2641509433962264
2022,regular season,Josh Tiven,315,63,5
2022,regular season,JT Orr,113,55,2.0545454545454547
2022,regular season,Justin Van Duyne,94,56,1.6785714285714286
